Text,C_Text,label
Koi negativity nehi sirf khushi...ASLI WINNER UMAR RIAZ,negativity nehi sirf khushi asli winner umar riaz,4
"We are left heart broken, but we know she played her game with heart, even turned her haters into supporters. 
Aaj winner ki khushi se jyada dukh iski haar ka hua hai, lekin ye haar nahi hai, ye JEET hai 

KHAIRAATI WINNER TEJASWI
PROUD OF YOU SHAMITA",we are left heart broken but we know she played her game with heart even turned her haters into supporters aaj winner khushi jyada dukh iski haar hua lekin ye haar nahi ye jeet khairaati winner tejaswi proud of shamita,3
riyaz broth ko gussa aa rha hoga😂😂😂😂,riyaz broth gussa aa hoga,2
Kal dukh sy nahi parha ja rha tha aur aj khushi sy🥺,kal dukh nahi parha aj khushi,3
"Hai teri Inayat, tujhse mili hai
Hooton pe mere hassi jo khili hai

Usse mera chehra chupa bhi na paaye
Tujhe paake haasil hui Jo Khushi hai.💕",teri inayat tujhse mili hooton mere hassi khili usse mera chehra chupa paaye tujhe paake haasil khushi,3
Karachi kings ko bas tournament main dusri teams ko khushi dene k liye rakha gaya hai.,karachi kings bas tournament dusri teams khushi dene k rakha,3
Khushi ke pal kaha dhundu ?,khushi ke pal kaha dhundu,3
"Ye kaisi, hai khushi
Jal jal ke jo bujhi 
Bujh bujh ke, jali
Milke bhi na miliii",ye kaisi khushi jal jal ke bujhi bujh bujh ke jali milke miliii,3
"Sutta piya taaki thoda khushi wagerah ayegi, nayi bhyii rona idhr bhi chalu, bhakk mc.",sutta piya taaki thoda khushi wagerah ayegi nayi bhyii rona idhr chalu bhakk mc,3
Chalo mujhe mera khushi ka content mil gya😍,chalo mujhe mera khushi content,3
"Nhi mujhe ye btao ye 1 million followers ki kis baat ki khushi horahi ????????
Cricket kheli nhi jaarahi batti bnalo 1 million ki",nhi mujhe ye btao ye million followers baat khushi horahi cricket kheli nhi jaarahi batti bnalo million,3
"Khairat ki cheezon mein life mein kabhi Khushi nahi milti

WE LOVE YOU PRATIK",khairat cheezon mein life mein kabhi khushi nahi milti we love pratik,2
Aaj toh apko khushi hui hogi pratik ko harta dekh aaplog yahi kar sakte ho bt jitne fams pratik me banaye he true wale aapki divya ne b nai banaye,aaj toh apko khushi hogi pratik harta dekh aaplog yahi sakte bt jitne fams pratik me banaye he true wale aapki divya b banaye,3
Yaha match k L laga k tujhy 1 million ki zada Khushi hy? Haram khoor,yaha match k l laga k tujhy million zada khushi haram khoor,3
Bohat zyada gussa arha hai🙂,bohat zyada gussa arha,2
Bro I'm so mad at colors rn. Udaariyaan ka toh gussa tha hi pehle se ab Bheja ko jita dia inhone 😭,bro i m so mad at colors rn udaariyaan toh gussa pehle bheja jita dia inhone,2
Umar ko isiliye nikala tha,umar isiliye nikala,4
"ᴹᵉⁱⁿ ˡᵃᵍᵍⁱʸᵃ ⁿⁱᵇʰᵃᵘⁿᵍⁱ ʸᵃᵃʳᵃ
ᴹᵉⁱⁿ ˢʰᵃᵈᵈ ᵏ ⁿ ʲᵃᵘᵍⁱ ʸᵃʳʳᵃ... 
ᴹᵉⁱⁿ ʳᵃᵃᵇ ᵛⁱ ⁿⁱ ᵃᵃᵘⁿ ᵈⁱⁿᵈⁱ
ˢᵃᵈᵉ ᵈʰᵃʳᵐⁱʸᵃ... 🥺❤️",,3
"agreed
but koora kings k harnay ki apni khushi ha",agreed but koora kings k harnay apni khushi ha,0
"Yeh ajeeb Khushi hai, jo puri tarah khush bhi nahi ho paa rahe hain. What a day this has been man 

LEGENDARY WINNER TEJASSWI",ajeeb khushi puri tarah khush nahi paa rahe what a day this has been man legendary winner tejasswi,3
"Is dafa Karachi se jeet ke bhi wo wali khushi nahi ho rahi 😬

So we are becoming boomers?? 😬",dafa karachi jeet ke wali khushi nahi so we are becoming boomers,3
Kabhi kabhi Aditi zindagi mein yunhi sab par gussa aata hai,kabhi kabhi aditi zindagi mein yunhi sab gussa aata,2
Ek baat confirm h agr tumhe is show se khushi chahiye to fir jo big names h unhe hi support kro😔🙏,ek baat confirm h agr tumhe show khushi chahiye fir big names h unhe support kro,3
"Aaj apna gussa bhi nikal denge 

TATTI CHANNEL COLORS TV",aaj apna gussa nikal denge tatti channel colors tv,2
Mujhe rona arahahe awr gussa to buhut hi jada agar bigg boss wale mil jate to batati,mujhe rona arahahe awr gussa buhut jada agar bigg boss wale jate batati,2
Itni khushi ki kya batau... neend nahi aa rahi,itni khushi batau neend nahi aa,3
Dafa karo LQ toh jeet gayi naa .. kahin toh khushi mili mujhe 😭🥳,dafa karo lq toh jeet gayi naa kahin toh khushi mili mujhe,3
"Meri kisi gal te naraz na hovi 
Akhian nu hanjua nal na dhovi 
Mildi ae khushi tenu hasde dekh ke
Sanu maut vi aa jave ta vi na rovi☺❤〽️",meri kisi gal te naraz hovi akhian nu hanjua nal dhovi mildi ae khushi tenu hasde dekh ke sanu maut vi aa jave ta vi rovi,0
Malek jhoot na bulwaye lahore k jeetne ki khushi aik traf or karachi ki har mei alag hi maza hai🔥,malek jhoot bulwaye lahore k jeetne khushi aik traf or karachi har mei alag maza,3
Lahore k jeetne ki khushi me pure Pakistan me mithai bantni chahiye 👍❤️🙂,lahore k jeetne khushi me pure pakistan me mithai bantni chahiye,3
"Waise to hamari friendship ko 5 months hi hue hai still lagta saalon se dost hai❤️Always stay happy gadhi 😍Bas aaj tareef kar rha baaki din to beizati hi karunga😎Hope hamari dosti Hamesha aise hi rahe  aur gussa kam kiya kar mujhpe😔Enjoy ur day 
Happy birthday once again nibbi",waise hamari friendship months hue still lagta saalon dost always stay happy gadhi bas aaj tareef baaki din beizati karunga hope hamari dosti hamesha aise rahe gussa kam kiya mujhpe enjoy ur day happy birthday once again nibbi,2
gussa aa raha hai--,gussa aa,2
Although I'm from kk lekin karachi ko LQ se harne ki jo khushi mujhe milti hai bus na poocho bara mazaa aata hai🤣🤣🤣,although i m from kk lekin karachi lq harne khushi mujhe milti bus poocho bara mazaa aata,3
Ek taraf khud jeet kar khushi ho rahi hai dusri taraf kisi ko jeeta dekh kar mood fuck hogya hai 😭,ek taraf khud jeet khushi dusri taraf kisi jeeta dekh mood fuck hogya,0
Match ki khushi main phone tut gya,match khushi phone tut,3
Ab khushi de ke azmaa le Khuda in ghamon se toh main nahi marta.,khushi ke azmaa khuda in ghamon toh nahi marta,3
KHUSHI SE DIL PHATT KAR BAHAR AH JAYE GA ESA NA KAHO😭😭😭,khushi dil phatt bahar ah jaye esa kaho,3
"Itni khushi Lahore Qalandars k jeetne ki nahi hoti, Jitni Karachi Kings k harny ki hoti hy😂🔪",itni khushi lahore qalandars k jeetne nahi hoti jitni karachi kings k harny hoti,3
Ab Dil Un Bato Pe Udas Hone Laga Hai Jin Bato Se Kabhi Khushi Mila Karti Thi,dil un bato udas hone laga jin bato kabhi khushi mila karti,2
Jese ye match jeety hain mujhe khushi kam gham ziada ho raha hai kay easi team semi tak ja hi nai sakti,jese ye match jeety mujhe khushi kam gham ziada kay easi team semi tak sakti,3
Methaie bant dijiye Khushi ka mahool hai,methaie bant dijiye khushi mahool,3
Phli dafa jeetain Khushi to banti h🤷🏻‍♀️,phli dafa jeetain khushi banti h,3
Khushi se maar mt jna Lahore walo 😂,khushi maar mt jna lahore walo,3
mujhe itni jeetne ki khushi nahi hoti… jitni karachi ke haarne ki hoti hai lmaoooo🤣🤣,mujhe itni jeetne khushi nahi hoti jitni karachi ke haarne hoti lmaoooo,3
"Har Khushi Mein Hai
Aansuon Mein Bhi
Door Kab Tu Gaya Hai
Mere Dil Ko Pata Hai
Tu Yaheen Hai Yahan Hai.....
❤️💜",har khushi mein aansuon mein door kab mere dil pata yaheen yahan,2
bhai itni khushi 😭😭😭😭❤️🏆🏆,bhai itni khushi,3
ja khushi tai...,khushi tai,3
Phele Lahore ke jeetne ke khushi phir Karachi k haarne ke khushi 🥵🥵,phele lahore ke jeetne ke khushi phir karachi k haarne ke khushi,3
phir jeetne ki khushi me arahay ho biryani khanay?,phir jeetne khushi me arahay biryani khanay,3
"332.
Aap hai gul-e-gulzar, mausam-e-bahar ... chehre par hai gussa, dil mein hai pyar ... aa gale lag ja mere yaar - (Ishq - Aamir Khan) 
BELOVED WINNERS TEJRAN",aap gul e gulzar mausam e bahar chehre gussa dil mein pyar aa gale lag mere yaar ishq aamir khan beloved winners tejran,1
Ab khushi sy neend ni aa rae,khushi neend ni aa rae,3
"Kise poochun hai aisa kyun
Bezuban sa yeh jahan hai
Khushi ke pal kahan dhoondun
Benishan sa waqt bhi yahan hai.....",kise poochun aisa kyun bezuban sa jahan khushi ke pal kahan dhoondun benishan sa waqt yahan,3
Ekta pe acha khasa gussa araha hai🥰,ekta khasa gussa araha,2
karachi ke harnay ki itni khushi nahi hui jitni lahore ke jeetnay ki hui hai😭😭😭🤲🏻🤲🏻,karachi ke harnay itni khushi nahi jitni lahore ke jeetnay,3
rana sahab ke liye khushi hoti hai bas 🙏,rana sahab ke khushi hoti bas,3
Those tears were not fake and abb mai fake bolungi naa too shayad sid bhi mujhse gussa hoojae,those tears were not fake and abb mai fake bolungi naa too shayad sid mujhse gussa hoojae,2
Koi ptaa kro qalandars ki Khushi dekh k Karachi walon ka sans tou ñhi ruk gyaa 😂,ptaa kro qalandars khushi dekh k karachi walon sans ruk gyaa,3
"Bht khushi horae hai, dil garden garden ho raha hai.",bht khushi horae dil garden garden,3
"Ak dafa tum milo to sanam, gham khushi me badal jaye ga 🔥",ak dafa tum milo sanam gham khushi me badal jaye,3
Bohat Khushi hoti hai jab Fakhar score karta hai hor Sharjeel nai karta. Fakhar Zaman &gt; Sharjeel,bohat khushi hoti jab fakhar score karta hor sharjeel karta fakhar zaman gt sharjeel,3
Hmari choti choti Khushiyo mein aik Khushi Karachi ko hara k milti hai..😌❤️❤️❤️,hmari choti choti khushiyo mein aik khushi karachi hara k milti,3
Jo bhi ho jab jab LQ jet'ta hai dil se khushi hoti hai 😂,jab jab lq jet ta dil khushi hoti,3
Aik ajeeb si khushi ho rahi hay..,aik ajeeb si khushi,3
Lahoriyu ne jeet ki khushi mein aur roti thorni hai,lahoriyu jeet khushi mein roti thorni,2
LQ k jeetnay say zayada khushi ARY k harnay ar hui hai.,lq k jeetnay say zayada khushi ary k harnay ar,3
esi khushi ka kiya faida jisme babar khush na ho?,esi khushi kiya faida jisme babar khush,3
Ab hamari khushi mai khush o jaye karachi wale 🥺🥺😂,hamari khushi mai khush o jaye karachi wale,3
"Lahore qalandar ky jheetny ki itni khushi nai
Jitna Karachi kings ky harny ki hai.",lahore qalandar ky jheetny itni khushi jitna karachi kings ky harny,3
jee mujha bohat khushi hoi hai mera dil garden garden ho gaya hai,jee mujha bohat khushi hoi mera dil garden garden,3
Itni khushi lahore k jeetny ki nahi hai jitni karachi k harny ki hai,itni khushi lahore k jeetny nahi jitni karachi k harny,3
zyada khushi is baat ki hay ke karachi se jeete hayn,zyada khushi baat ke karachi jeete hayn,3
Kahne to bhuat log the mere saath aaj but phir me akali thi kyuki log nahi jin se khushi milti hai un ko to mere hone se matlab hi nahi tha,kahne bhuat log the mere saath aaj but phir me akali kyuki log nahi jin khushi milti un mere hone matlab nahi,3
Itni khushi pori zindagi mai kabhi nai hoi jitni aj in k match jeetnay par hoi hai,itni khushi pori zindagi mai kabhi hoi jitni aj in k match jeetnay hoi,2
Dil bhar aya mera khushi se😭😭🥳,dil bhar aya mera khushi,3
Itni khushi apni kisi achievement pr nahi hoti jitni KK se jeetne pr hoti hai.,itni khushi apni kisi achievement pr nahi hoti jitni kk jeetne pr hoti,0
AISI KHUSHI TO QASM SE RESULT BI PE NHI HOTI JITNI AAJ HORHI HAI😭😭😭😭😭😭,aisi khushi qasm result bi nhi hoti jitni aaj horhi,3
lahore keh jeetne ke buhat khushi hai magar yeh babar azam ko dukhi nahi dekha jaata ☹️,lahore keh jeetne ke buhat khushi magar babar azam dukhi nahi dekha jaata,3
Itni khushi tumhare Ghar walo ko tumhare paida hony pai NHi hoi ho gi jitni awaam ko lahore ky jeetny or karachi k harny pai ho rhi ha😂♥️🥺,itni khushi tumhare ghar walo tumhare paida hony pai nhi hoi jitni awaam lahore ky jeetny or karachi k harny pai rhi ha,3
"Yayyyyyy. Itniii khushi mujhe IU kee nhin hui theee, jitni LQ kee ho rhiii.😭 🙌",yayyyyyy itniii khushi mujhe iu kee nhin theee jitni lq kee rhiii,3
Meri fav. Shamoo nahi jiti yaar...💔,meri fav shamoo nahi jiti yaar,3
"Zindagi main aaj kal wahid khushi LQ ki jeet se mile gi, itna khyaal hi kr lein",zindagi aaj kal wahid khushi lq jeet mile itna khyaal lein,2
Aik hi khushi reh guyi hai zindagi mai please mat cheeno,aik khushi reh guyi zindagi mai please mat cheeno,2
Yrr biryani khushi ki kahayee jati hai tm log pulao kahlena,yrr biryani khushi kahayee tm log pulao kahlena,3
Kabhi khushi kabhi gham...🥲,kabhi khushi kabhi gham,2
"Mujhay pata tha mere sath bakwass hi honi ha, khushi haram ha",mujhay pata mere sath bakwass honi ha khushi haram ha,3
KABHI KHUSHI KABHI GHAM !,kabhi khushi kabhi gham,2
"Double khushi
Karachi ke haaarnay ke aur Lahore ke jeetnay kiii ALHAMDULILLAH 😍",double khushi karachi ke haaarnay ke lahore ke jeetnay kiii alhamdulillah,3
Kundra ki kasam teja nagin ke Roop pe aunty lag rahi hai,kundra kasam teja nagin ke roop aunty lag,3
"OUR WINNER KARAN 
TATTI CHANNEL COLORS TV

Khamba Lelo Bhaisaab. Khushi mein peena tha, ab gusse aur gum mein piyenge",our winner karan tatti channel colors tv khamba lelo bhaisaab khushi mein peena gusse gum mein piyenge,2
"Itni ajeeb si khushi hoti hai KK ko haarta dekh k, bayaan nahi karsakti.",itni ajeeb si khushi hoti kk haarta dekh k bayaan nahi karsakti,0
FAKHARRRR MAIN NE KHUSHI SE RO DENA HAI AB MAASHAALLAH MERI JAAN I LOVE YOU SHEHZAADE,fakharrrr khushi ro dena maashaallah meri jaan i love shehzaade,3
Ertugrul ko pittay huwe dekh k boht khushi hoti hai.,ertugrul pittay huwe dekh k boht khushi hoti,3
MEREKO GUSSA AARAHE BHAISHAB 🙂🙂🙂🙂🔪🔪🔪🔪🔪,mereko gussa aarahe bhaishab,2
FAKHAR MENE KHUSHI SE RO DENA HAI MASHALLAH 😭😭😭😭😭😭😭😭😭😭😭😭,fakhar mene khushi ro dena mashallah,3
Ajeeeb khushi bhi nahi horhi hai fakhar ke lien,ajeeeb khushi nahi horhi fakhar ke lien,3
Itniii khushi hoti hai na Pakistani batsman ko khelte howe dekh ke kasam se 😭❤️,itniii khushi hoti pakistani batsman khelte howe dekh ke kasam,3
yai sameet ko kiss khushi may dala hoa hai bhae,yai sameet kiss khushi may dala bhae,3
"Ab Khushi de ke azmaa Le Khuda,
In ghamon see to main nai Marta.",khushi ke azmaa khuda in ghamon see marta,3
Bohot gussa arha hai 😭😭😭😭 kutto dikha do sana ko,bohot gussa arha kutto dikha do sana,2
Jab weekend koi khushi ka mauka nahi hota tab Monday se koi fark bhi nahi padta.. Are you the same ??,jab weekend khushi mauka nahi tab monday fark nahi padta are the same,3
gussa araha hai,gussa araha,2
"Finale dekhne mein woh khushi hi nhi horahi

humse humare sapna chin liya",finale dekhne mein khushi nhi horahi humse humare sapna chin liya,2
Munmun Dutta ji ko aapni beuafull una ka gamad huga hai is liye jethalal ji pa aj kal gussa karti rahi hai raj anadkat ka baccha ki Maa banawali hai app tu aapko doodha bhi peeta huga aapka doodh bada,munmun dutta ji aapni beuafull una gamad huga jethalal ji pa aj kal gussa karti raj anadkat baccha maa banawali app aapko doodha peeta huga aapka doodh bada,2
"Watching porn be like, ""Dusro ki khushiyon mai khud ke liye do pal ki khushi dhundna"" 🥺",watching porn be like dusro khushiyon mai khud ke do pal khushi dhundna,3
itna koi gussa a raha mujha har koi annoying lag raha,itna gussa a mujha har annoying lag,2
Mjhe nhi khaani chocolates..tm Meri taraf se rakh Lena Karachi k jeetne ki Khushi me😛,mjhe nhi khaani chocolates tm meri taraf rakh lena karachi k jeetne khushi me,3
Agar Teja jeet ti hai toh Karan agar uss khushi mein party de toh hume content mil sakta hai 😃,agar teja jeet ti toh karan agar uss khushi mein party toh hume content sakta,2
"Sabse Jyada Gussa Tab 
Aata Hai,

Jab Pyaar Bhi Hum Kare,Intezar Bhi 
Hum Kare,Jataye Bhi Hum Aur 
Roye Bhi Hum💯😓",sabse jyada gussa tab aata jab pyaar kare intezar kare jataye roye,2
Kamzor insaan humesha gussa dikhata h. Khud ko nidar sabit krne ke liye .,kamzor insaan humesha gussa dikhata h khud nidar sabit krne ke,2
"Tujh mai mujood hai
Har khushi ki wajah
Mujhko mehsoos ab
 aisa hunay laga

BELOVED WINNERS TEJRAN",tujh mai mujood har khushi wajah mujhko mehsoos aisa hunay laga beloved winners tejran,1
"Oh bhai tum logo ne kis khushi main trendline use karna bandh kar diya? Do I have to become Prerna again?? 

BELOVED WINNERS TEJRAN",oh bhai tum logo khushi trendline use bandh diya do i have become prerna again beloved winners tejran,1
"Dil me mere, Khaab tere 
Tasveer jese ho deewar pe
Tujhpe fida mai kyu hua
Aata hai gussa mujhe pyaaar pee
Mai lut gya, maan ke dil ka kaha, mai khi ka na raha, kya khuu mai dilrubaa...😺",dil me mere khaab tere tasveer jese deewar tujhpe fida mai kyu hua aata gussa mujhe pyaaar pee mai lut maan ke dil kaha mai khi khuu mai dilrubaa,2
AB TAU WICKETS KI KHUSHI BHI NH HORAHI.,tau wickets khushi nh horahi,3
Ye out kis khushi main ho gya hai?,ye out khushi,3
Smj nahi arahi k ma support kisko krna chti  hu Karachi acha khelta ha to bhe khushi hoti ha lahore wale wicket lete hain tou bhe khushi hoti hai.,smj nahi arahi k ma support kisko chti hu karachi khelta ha bhe khushi hoti ha lahore wale wicket lete bhe khushi hoti,3
Imad kis khushi me bowl nahi karsakta pehle?,imad khushi me bowl nahi karsakta pehle,3
"I don't know about love ,, 

But tumhe dekh kar ke mujhe ek alag si khushi milti hai",i don t know about love but tumhe dekh ke mujhe ek alag si khushi milti,3
Kabhi khushi kabhi ghum,kabhi khushi kabhi ghum,2
Jab imad wasim 0 per out hota hai toh dil se Khushi hoti hai,jab imad wasim per out toh dil khushi hoti,3
ye saaray apna gussa Lahore k khilaf hi nikaltay hain :((,ye saaray apna gussa lahore k khilaf nikaltay,2
flowers milne pe alag khushi milti hai,flowers milne alag khushi milti,3
Shaheen k aatay hi waisay hi khushi hone lagti hai 💚💚💚💚💚💚💚,shaheen k aatay khushi hone lagti,3
Shaheen ki khushi k liye to i is here,shaheen khushi k i here,3
"Sach me bahut hi accha show hai hunarbaaz..sudhir ko hunarbaaz me dekhkar bahut khushi ho rahi hai..
Sudhir Yaduvanshi Hunarbaaz",sach me bahut accha show hunarbaaz sudhir hunarbaaz me dekhkar bahut khushi sudhir yaduvanshi hunarbaaz,3
Ab tau zayada khushi hu tab bhi dar khe khauf se nail bitting karlete hu :/,tau zayada khushi hu tab dar khe khauf nail bitting karlete hu,3
Pehli dafa Babar ko out hony pr khushi ho rahi hai.,pehli dafa babar out hony pr khushi,0
"Tujh se hi har khushi hai
Tere dam se aashiqi hai jaan le

BELOVED WINNERS TEJRAN",tujh har khushi tere dam aashiqi jaan beloved winners tejran,1
Babar k out hone se khushi nahi hoti,babar k out hone khushi nahi hoti,3
Itne khushi kabhi babar k out honay ki nahi hui,itne khushi kabhi babar k out honay nahi,2
"Duniya ko khushi chahiye 
or Mujhe har Khushi mein Tum💜",duniya khushi chahiye or mujhe har khushi mein tum,3
"Duniya ko khushi chahiye 
or Mujhe har Kyushu mein Tum💜",duniya khushi chahiye or mujhe har kyushu mein tum,3
manhosiyat ny tu LQ ko abbu bna rakha hai yar .... Chor do jaan humari team ki 🤧😑🙂 koi khushi PSL trophy ki humy bhi dy du yarrr gareeb ki dua lagy gi 🌚 .....,manhosiyat lq abbu bna rakha yar chor do jaan humari team khushi psl trophy humy dy du yarrr gareeb dua lagy,3
KHUSHI 😭😭😭😭😭,khushi,3
Ye wo khushi hai jo ye dil hi janta hai 😭🙇,ye khushi ye dil janta,3
"He:- kaise ho??

Me:- Bilkul waisi hi jaisi tumhari mummy dhoond rhi hai🙈❤️",he kaise me bilkul waisi jaisi tumhari mummy dhoond rhi,3
"Well played sharjeel🥺♥️
Khushi kardya Karachi walon ko 🥺♥️✌️",well played sharjeel khushi kardya karachi walon,3
Shukar sabar Khushi 🤍,shukar sabar khushi,3
"Jo log khushi waly din 
Bhi udass hote hein
Khuda unki udaasii ko 
Khushi main badle. 
    Ameen.",log khushi waly din udass hote hein khuda unki udaasii khushi badle ameen,4
KIA MASLA HAI SHARJEEL BHAI KONSI HAWA KHA KE AYE HO MAARI JA RAE HO HUM PE BHI REHAM KARO NA ADMISSION HUVA NA ZINDAGI ACHI CHAL RAI AIK YE MATCH HI KHUSHI DE SAKTA HAI HOJA OUT YAAR,kia masla sharjeel bhai konsi hawa kha ke maari rae reham karo admission huva zindagi achi rai aik ye match khushi sakta hoja out yaar,3
Sharjeel meri jan kis baat ka gussa nikal rahe hoo aj,sharjeel meri jan baat gussa nikal rahe hoo aj,2
"Shayad khushi ka daur b aayaiga ek din,
Gum b toh milgayai thai, tamana kiyai bagair.",shayad khushi daur b aayaiga ek din gum b toh milgayai thai tamana kiyai bagair,3
khushi de k cheen li😿,khushi k cheen li,3
Sharjeel bhai tum to gussa hi kr gae,sharjeel bhai tum gussa gae,2
Me awein khushi se cheekh rahi thi🤦‍♀,me awein khushi cheekh,3
Darshan maatra se jo khushi milti hai mujhe😭🤧❤✨,darshan maatra khushi milti mujhe,3
